Agent_id,agent_city,agent_firm_name,agent_state
5949,Fremont,Law Offices Of Jyoti Ruprell. P.C.,California
5950,Los Angeles,"Ralph Ehrenpreis, A Plc",California
5951,New York,"Greenberg Traurig, Llp",New York
5952,New York,Law Office Of Karin Wolman Pllc,New York
5953,Goodyear,Law Offices Of Brelje And Associates,Arizona
5954,Richardson,"Kinser Law, Pllc",Texas
5955,Miami,"Weiss, Alden & Polo, P.A.",Florida
5956,Lawrenceville,"Bhagwati And Associates, Pllc.",New Jersey
5957,Williamsville,Cummings & Partners,New York
5958,Pittsburgh,"Meyer, Unkovic @ Scott Llp",Pennsylvania
5959,Washington,"Fragomen, Del Rey, Bernsen Loewy, Llp",District of Columbia
5960,Falls Church,National Capital Legal Services,Virginia
5961,Milwaukee,Husch Blackwell Llp,Wisconsin
5962,New York,Sharma Yaskhi Associates Llp,New York
5963,Pasadena,"Tan & Sakiyama, A Prof. Corp",California
5964,Greenville,Carruthers Law Firm,South Carolina
5965,New York,Emandi Law Firm P.C,New York
5966,Encino,"Law Offices Of Roni P. Deutsch, A Law Corporation",California
5967,Milpitas,Law Office Of Jessica L. Wnag,California
5968,New York,Law Offices Of Henry Lee M. Fong,New York
5969,Woodland Hils,"Sostrin Immigration Lawyers, Llp",California
5970,Portland,"Landis Arn And Jaynes Pa, Ste. 321",Maine
5971,New York,Law Office Of Randall Chamberlain,New York
5972,Houston,Chamberlain Hrdlicka,Texas
5973,Newark,Law Office Of Raymond P. D'Uva,New Jersey
5974,Melrose Park,Immigration Law Office Of Myung Park,Pennsylvania
5975,New York,Reinhardt Llp,New York
5976,Miami,Bradley June Attorney,Florida
5977,Los Angeles,"Law Offices Of Michael I Brooks, Apc.",California
5978,Bowling Green,"English, Lucas, Priest, & Owsley, Llp",Kentucky
5979,Sugar Land,"Willy, Nanayakkara & Associates",Texas
5980,New York,Garganigo Goldsmith & Wise,New York
5981,Bellaire,"Law Offices Of Deepa A. Thakur, P.C.",Texas
5982,N Chesterfield,Leclairryan Pc,Virginia
5983,Arlington,Attorney At Law,Virginia
5984,New Hyde Park,"Jude Tadeo Palces, Esq.",New York
5985,San Francico,Law Offices Of James M. Byrne,California
5986,Boston,"The Law Office Of Goss And Associates, Llc",Massachusetts
5987,Arlington,The Law Office Of Andrea W Kelly Pllc,Texas
5988,Los Angeles,Law Office Of Adrienne Herrera,California
5989,Stamford,"Law Offices Of Douglas R. Penn, Llc",NA
5990,Miami,Alejandro Franco Pa,Florida
5991,Los Angeles,"Carmen Villamor, Law Corp.",California
5992,Toronto  On  Canada,Ey Law Llp,California
5993,Ann Arbor,"Schlossberg Legal, Pllc",Michigan
5994,Chicago,Vedder Price,Illinois
5995,San Francisco,Weaver Schlenger Llp,California
5996,San Diego,"Fragomen, Del Rey, Bernsen And Loewy",California
5997,Allen,"Azhar And Azhar Law Firm, Pllc.",Texas
5998,Atlanta,Carreras & Lemoine,Georgia
5999,Lubbock,"Whittenburg & Strange, P.C.",Texas
6000,Austin,NA,Texas
6001,South Plainfield,Law Offce Of Thomas V. Allen,New Jersey
6002,White Plains,"Law Offices Of Joseph A. Sena,Jr., Pllc",New York
6003,Phoenix,Law Office Of Darshak Shah,Arkansas
6004,Mountain View,NA,California
6005,New York,"Sharma Yaskhi & Associates, Llp.",New York
6006,Toronto  On Canada,Ey Law Llp,NA
6007,Nyc,Arun Misra Pc,New York
6008,New York,Yarden Law Group Llc,New York
6009,Farmington Hill,"Law Offices Of Amarnath Gowda, P.C.",Michigan
6010,Chicago,Gerald Cipolla & Associates Dba Cipolla Law Group,Illinois
6011,San Diego,"Fragomen, Del Rey, Bernsen, & Loewy Llp",California
6012,Greenbelt,NA,Maryland
6013,New York,"Bretz & Coven, Llp",New York
6014,Knoxville,Egerton Mcafee,Tennessee
6015,San Francisco,Morgan Lewis & Bockius Llp,California
6016,Washington,Fragomen Del Rey Bernsen & Loewy Llp,District of Columbia
6017,Westlake Village,Greathouse Law Firm,California
6018,Pleasanton,"Dan Michael Ritter, Pc",California
6019,South Plainfield,"Law Office Of Thomas V. Allen, Pllc.",New Jersey
6020,Pittsburgh,Seth Law Assocates,Pennsylvania
6021,Philadelphia,Schoener And Associates Pc,Pennsylvania
6022,Freehold,"Law Offices Of Santiago & Associates, P.C.",New Jersey
6023,San Diego,"Fragoomen, Del Rey, Bernsen, & Loewy, Llp",California
6024,New York,Katona And Mir Llp,New York
6025,Philadelphia,Hogan And Vandenberg,Pennsylvania
6026,Dallas,The Chander Law Firm,Texas
6027,Willoughby Hills,"Professional Immigration Services, Llc",Ohio
6028,Saint Louis,"M. Margaret O'Hare, Attorney At Law",Missouri
6029,Palo Alto,Immigration Law Offices Of Claire Degerin,California
6030,Orlando,"Maney Gordon Zeller, Pa",Florida
6031,Santa Clara,Attorney At Law,California
6032,Mclean,Uspas Llc,Virginia
6033,Seattle,"Watson Immigration Law, Llc",Washington
6034,Chicago,"Gostynska Frakt, Ltd.",Illinois
6035,Anchorage,"Cascadia Cross Border Law Group, Llc",Alaska
6036,Santa Clara,"Fragomen, Del Rey, Bernsen & Loewy,  Llp",California
6037,Redwood City,Sargeant Law,California
6038,Elkridge,Vegesna & Vemuru Associates Llc,Maryland
6039,Minneapolis,Raman Law Llc,Minnesota
6040,Seattle,"Anu Attorney Professional Law Firm, Pllc",Washington
6041,Washington,Law Office Of Iftekhar Bul Haq,District of Columbia
6042,Sugar Land,Law Offices Of Anjali Bakshi-Rami,Texas
6043,Boston,Ross Silverman Snyder Tietjen Llp,Massachusetts
6044,Coral Gables,"Fragomen, Del Rey, Bernsen & Loewy Lp",Florida
6045,San Francisco,"Gibney, Anthony And Flaherty Llp",California
6046,Englewood Cliffs,Judy Chang Law Firm,New Jersey
6047,Ny,The Katz Law Group Pc,New York
6048,Dayton,"Inderjit K Sidhu, Esq Llc",New Jersey
6049,Cincinnati,"Hammond Law Group, Llc.",Ohio
6050,San Francisco,Berry Appleman And Leiden Llp,California
6051,Coral Gables,"Fragomen, Del Rey, Bersen & Loewy, Llp",Florida
6052,Burlinton,Trupti N. Patel & Associates,Massachusetts
6053,Chicago,Global Immigration Associates  Pc,Illinois
6054,Irvine,Jain Law Group,California
6055,Chicago,"Fragomen, Del Rey, Bernsen & Loewy, Llp",Idaho
6056,Pittsburgh,"Kranyak Attorneys, P.C.",Pennsylvania
