zip_id,zip,city,state
280,1798,Beverton,Oregon
281,1798,Big Bear,California
282,59520,Big Sandy,Montana
283,79720,Big Spring,Texas
284,1821,Billerica,Massachusetts
285,59101,Billings,Montana
286,13901,Binghamton,New York
287,35201,Birmingham,Alabama
288,48009,Birmingham,Michigan
289,58501,Bismarck,North Dakota
290,74008,Bixby,Oklahoma
291,43004,Blacklick,Ohio
292,24060,Blacksburg,Virginia
293,8012,Blackwood,New Jersey
294,28320,Bladenboro,North Carolina
295,20710,Bladensburg,Maryland
296,4734,Blaine,Minnesota
297,68008,Blair,Nebraska
298,1798,Blommington,Illinois
299,6002,Bloomfield,Connecticut
300,7003,Bloomfield,New Jersey
301,48301,Bloomfield Hills,Michigan
302,1798,Bloomfield Township,Michigan
303,1798,Bloomfields Hills,Michigan
304,60108,Bloomingdale,Illinois
305,7403,Bloomingdale,New Jersey
306,1798,Bloomingon,Illinois
307,12411,Bloomington,Connecticut
308,61701,Bloomington,Illinois
309,47401,Bloomington,Indiana
310,12411,Bloomington,Minnesota
311,17815,Bloomsburg,Pennsylvania
312,32424,Blountstown,Florida
313,1798,Blue Ash,Ohio
314,19422,Blue Bell,Pennsylvania
315,1798,Blueash,Ohio
316,24701,Bluefield,West Virginia
317,29910,Bluffton,South Carolina
318,72315,Blytheville,Arkansas
319,29016,Blythewood,South Carolina
320,16827,Boalsburg,Pennsylvania
321,97818,Boardman,Ohio
322,33427,Boca Raton,Florida
323,78006,Boerne,Texas
324,30622,Bogart,Georgia
325,7603,Bogota,New Jersey
326,11716,Bohemia,New York
327,28017,Boiling Springs,North Carolina
328,29316,Boiling Springs,South Carolina
329,83701,Boise,Idaho
330,60440,Bolingbrook,Illinois
331,83805,Bonners Ferry,Idaho
332,28607,Boone,North Carolina
333,7005,Boonton,New Jersey
334,1798,Boothwyn,Pennsylvania
335,8505,Bordentown,New Jersey
336,71111,Bossier City,Louisiana
337,2108,Boston,Massachusetts
338,1798,Bothel,Washington
339,98011,Bothell,California
340,98011,Bothell,Washington
341,80301,Boulder,Colorado
342,95006,Boulder Creek,California
343,84010,Bountiful,Utah
344,60914,Bourbonnais,Illinois
345,1798,Bourne,Massachusetts
346,20715,Bowie,Maryland
347,59521,Box Elder,Montana
348,1719,Boxborough,Massachusetts
349,1798,Boxbourgh,Massachusetts
350,20841,Boyds,Maryland
351,33424,Boynton Beach,Florida
352,1798,Boyton Beach,Florida
353,59715,Bozeman,Montana
354,34201,Bradenton,Florida
355,7720,Bradley Beach,New Jersey
356,56401,Brainerd,Minnesota
357,2184,Braintree,Massachusetts
